Genre,Compositeur,Titre,Période,Formation,Remarque
Clavier,Böhm G.,Partita sur Jesu du bist allzu schöne,Baroque,Orgue,
Clavier,Böhm G.,Suite en fa mineur,Baroque,Clavecin,
Clavier,Cavazzoni G.,Canzon sopra Falt d'argens,Renaissance,Orgue,
Clavier,Cavazzoni G.,Canzon sopra i le bel e bon,Renaissance,Orgue,
Motet,Croce G.,O vos omnes,Renaissance,Chœur a capella,
Motet,Croce G.,Cantate Domino,Renaissance,Chœur a capella,
Clavier,De Macques G.,Cappricio sopra re fa mi sol,Renaissance,Orgue,
Musique d'ensemble,Delerue G.,Concerto de l'Adieu,Moderne,Violon et orgue,
Clavier,Diruta G.,Toccata di grado del primo tono,Renaissance,Orgue,
Oratorio,Fauré F.,Requiem op. 48,Romantique,Chœur et instruments,
Motet,Fauré F.,Cantique de Jean Racine op.11,Romantique,Chœur et orgue,
Musique d'ensemble,Fauré F.,Berceuse op.16,Romantique,Violoncelle et orgue,
Clavier,Frescobaldi G.,Fiori musicali,Baroque,Orgue,
Clavier,Frescobaldi G.,Aria detta Frescobalda,Baroque,Clavecin,
Clavier,Frescobaldi G.,Canzona quarta (2ème livre de toccatas),Baroque,Clavecin,
Clavier,Frescobaldi G.,Toccata prima (du 2ème livre),Baroque,Clavecin,
Messe,Frescobaldi G.,Messa sopra l'aria della Monica,Baroque,Chœur et instruments,
Clavier,Frescobaldi G.,Toccata secunda (2ème Livre),Baroque,Clavecin,
Clavier,Frescobaldi G.,Toccata quinta (2ème Livre),Baroque,Orgue,
Motet,Gabrieli G.,O magnum mysterium,Renaissance,Chœur et instruments,
Clavier,Morandi G.,Rondo con imitazione de campanelli,Romantique,Orgue,
Clavier,Muffat G.,Toccata secunda,Baroque,Orgue,
Motet,Anerio G.F.,Rorate caeli,Baroque,Chœur et instruments,
Motet,Anerio G F. ,Magi ab oriente venerunt,Baroque,Chœur et instruments,
Oratorio,Haendel G.F.,Messie HWV 56,Baroque,Chœur et instruments,
Musique d'ensemble,Haendel G.F.,Concerto pour orgue op. 4/6 HWV 290,Baroque,Ensemble instrumental,
Clavier,Haendel G.F.,Suite no2 en fa majeur HWV 427,Baroque,Clavecin,
Musique d'ensemble,Haendel G.F.,Concerto pour orgue en si bémol majeur op.4/2 HWV 290,,Ensemble instrumental,
Motet,Nanino G.M.,Hodie Christus natus est,Renaissance,Chœur et instruments,
Motet,Nanino G.M.,Hodie nobis caelorum rex,Renaissance,Chœur et instruments,
Motet,Nanino G.M.,Magnificat a 8,Renaissance,Chœur et instruments,
Motet,Nanino G.M.,Sancta et immaculata,Renaissance,Chœur et instruments,
Motet,Nanino G.M.,Verbum caro factum est,Renaissance,Chœur et instruments,
Motet,Palestrina G.P.,Sicut cervus,Renaissance,Chœur a capella,
Motet,Palestrina G.P.,O Crux ave,Renaissance,Chœur a capella,
Motet,Palestrina G.P.,Regina caeli,Renaissance,Chœur a capella,
Messe,Palestrina G.P.,Missa brevis,Renaissance,Chœur a capella,
Cantate,Telemann G.P.,Schmecket und sehet,Baroque,Chœur et instruments,
Motet,Telemann G.P.,"Es segne uns Gott, unser Herr",Baroque,Chœur et instruments,
Cantate,Telemann G.P.,Gott der Hoffnung erfülle euch BWV 218,Baroque,Chœur et instruments,Cantate de Telemann attribuée autrefois à Bach
Clavier,Buchner H.,Quem terra pontus,Renaissance,Orgue,
Clavier,Buchner H.,Gloria Cunctipotens Genitor Deus ,Renaissance,Orgue,
Oratorio,Du Mont H.,Magnificat,Baroque,Chœur et instruments,
Motet,Isaac H.,"Alleluia, Assumpta est Maria",Renaissance,Chœur a capella,
Motet,Purcell H.,Three short Anthems,Baroque,Chœur et orgue,
Motet,Purcell H.,Musique pour les funérailles de la Reine Mary,Baroque,Chœur et orgue,
Motet,Purcell H.,Nunc dimittis,Baroque,Chœur et orgue,
Clavier,Purcell H.,Prélude en sol majeur,Baroque,Orgue,
Clavier,Purcell H.,Voluntary sur le Psaume 100,Baroque,Orgue,
Clavier,Scheidemann H.,Galliarda en ré mineur,Baroque,Clavecin,
Motet,Schütz H.,Singet dem Herrn ein neues Lied,Baroque,Chœur et instruments,
Musique d'ensemble,Wieniawski H.,Carnaval russe op.11,Romantique,Violon et orgue,
Motet,Hassler H.L.,Cantate Domino,Renaissance,Chœur a capella,
Motet,Hassler H.L.,Dixit Maria,Renaissance,Chœur a capella,
Motet,Hassler H.L.,Qui laudat Dominum,Renaissance,Chœur a capella,
Motet,Hassler H.L.,Beata es Virgo Maria,Renaissance,Chœur a capella,
Musique d'ensemble,Schilling H.L.,Canzona über Christ ist erstanden,Contemporain,Trompette et orgue,
Musique d'ensemble,Albeniz I.,Asturias,Romantique,Violon et orgue,
Clavier,Alain J.,Litanies,Moderne,Orgue,
Clavier,Alain J.,Le Jardin suspendu,Moderne,Orgue,
Clavier,Alain J.,Variations sur le Lucis Creator,Moderne,Orgue,
Clavier,Alain J.,Choral cistercien,Moderne,Orgue,
Clavier,Alain J.,Choral dorien,Moderne,Orgue,
Motet,Arcadelt J.,Ave Maria,Renaissance,Chœur a capella,
Chanson,Bovet J.,La fanfare du printemps,Moderne,Chœur a capella,
Clavier,Brahms J.,11 Chorals pour orgue op. 122,Romantique,Orgue,
Clavier,Brahms J.,Prélude et Fugue en la mineur WoO 9,Romantique,Orgue,
Clavier,Bull J.,Christe Redemptor omnium,Renaissance,Orgue,
Clavier,Bull J.,Gloria tibi trinitatis,Renaissance,Orgue,
Musique d'ensemble,Daetwyler J.,Concerto pour trompette et orgue,Moderne,Trompette et orgue,
Clavier,Daetwyler J.,Poème et Fugue,Moderne,Orgue,
Clavier,Demessieux J.,Rorate caeli,Moderne,Orgue,
Motet,Desprez J.,In te Domine speravi,Renaissance,Chœur a capella,
