Genre,Compositeur,Titre,Période,Formation,Remarque
Clavier,Bach J.S.,"Partita sur Gott, du frommer Gott BWV 767",Baroque,Orgue,
Musique d'ensemble,Bach J.S.,Concerto pour violon en la mineur BWV 1041,Baroque,Violon et orgue,
Oratorio,Bach J.S.,Oratorio de Noël BWV 248,Baroque,Chœur et instruments,"Herrscher des Himmels, erhören das Lallen"
Cantate,Bach J.S.,"Nach dir, Herr, verlanget mich, BWV 150",Baroque,Chœur et instruments,
Clavier,Bach J.S.,Passacaille et Fugue en do mineur BWV 582,Baroque,Orgue,
Cantate,Bach J.S.,Mein Herze Schwimmt im Blut BWV 199,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Sie werden aus Saba alle kommen BWV 65,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Ich habe genug BWV 82,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Was willst du dich betrüben BWV 107,Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Wer sich selbst erhöhet, der soll erniedriget warden BWV 47",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Nun ist das Heil und die Kraft BWV 50,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Widerestehe doch der Sünde BWV 54,Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Gelobet sei der Herre, mein Gott BWV 129",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Siehe zu, dass deine Gottesfurcht nicht Heuchelei sei BWV 179",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Herr Gott, dich loben alle wir BWV 130",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Erfreute Zeit im neuen Bunde BWV 83,Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Nun komm, der Heiden Heiland BWV 62",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Ihr Menschen, rühmet Gottes Liebe BWV 167",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Bringet dem Herrn Ehre seines Namens BWV 148,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Geist und Seele wird verwirret BWV 35,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Ihr Tore zu Zion BWV 193,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Wer da gläubet und getauft wird BWV 37,Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Gott, wie dein Name, so ist auch dein Ruhm BWV 171",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Es ist ein trotzig und verzagt Ding BWV 176,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Es wartet alles auf dich BWV 187,Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Lobe den Herren, den mächtigen König der Ehren BWV 137",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Herz und Mund und Tat und Leben BWV 147,Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Ich glaube, lieber Herr, hilf meinem Unglauben! BWV 109",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"O Ewigkeit, du Donnerwort  BWV 20",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Ich bin ein guter Hirt BWV 85,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Der Himmel lacht! Die Erde jubilieret BWV 31,Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Was Gott tut, das ist wohlgetan BWV 98",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Was Gott tut, das ist wohlgetan BWV 100",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Erforsche mich, Gott, und erfahre mein Herz BWV 136",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Das ist je gewißlich wahr BWV 141,Baroque,Chœur et instruments,Cantate de Telemann attribuée autrefois à Bach
Cantate,Bach J.S.,Gott ist unsre Zuversicht BWV 197,Baroque,Chœur et instruments,
Motet,Bach J.S.,"O Jesu Christ, meins Lebens Licht BWV 118",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Herr Jesu Christ, du höchstes Gut BWV 113",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Du sollst Gott, deinen Herren, lieben BWV 77",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Wohl dem, der sich auf seinen Gott BWV 139",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Allein zu dir, Herr Jesu Christ BWV 33",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Schwingt freudig euch empor BWV 36,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Christ unser Herr zum Jordan kam BWV 7,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Alles nur nach Gottes Willen BWV 72,Baroque,Chœur et instruments,
Motet,Bach J.S.,"Jesu, meine Freude BWV 227",Baroque,Chœur et instruments,
Cantate,Bach J.S.,"Erfreut euch, ihr Herzen BWV 66",Baroque,Chœur et instruments,
Cantate,Bach J.S.,Auf Christi Himmelfahrt allein BWV 128,Baroque,Chœur et instruments,
Cantate,Bach J.S.,Man singet mit Freuden vom Sieg BWV 149,Baroque,Chœur et instruments,
Clavier,Bach J.S.,Toccata et Fugue en ré mineur BWV 538,Baroque,Orgue,
Clavier,Bach J.S.,Concerto en sol majeur BWV 592,Baroque,Orgue,
Clavier,Bach J.S.,Prélude et Fugue en do majeur BWV 547,Baroque,Orgue,
Motet,Arnsesen K.A.,Pie Jesu,Contemporain,Chant et orgue,
Oratorio,Arnsesen K.A.,Magnificat,Contemporain,Chœur et instruments,Extraits
Clavier,Boëllmann L.,Suite gothique op.25,Romantique,Orgue,
Clavier,Lefébure-Wély L.J.A.,Boléro de concert op.166,Romantique,Orgue,
Clavier,Lefébure-Wély L.J.A.,Sortie en mi bémol ,Romantique,Orgue,
Motet,Janacek L.,Veni Sancte spiritus,Moderne,Chœur a capella,
Clavier,Luzzaschi L.,Toccata del quarto tono,Renaissance,Orgue,
Clavier,Luzzaschi L.,Ricercare del primo tono,Renaissance,Orgue,
Motet,Marenzio L.,O Rex gloriae,Renaissance,Chœur a capella,
Motet,Marenzio L.,Hodie Christus natus est,Renaissance,Chœur et instruments,
Musique d'ensemble,Van Beethoven L.,Romance op.50,Romantique,Violon et orgue,
Clavier,Vierne L.,1ère Symphonies,Romantique,Orgue,Extraits
Clavier,Vierne L.,Carillon de Westminster,Romantique,Orgue,
Clavier,Daquin L.-C.,Noël suisse,Baroque,Orgue,
Clavier,Daquin L.-C.,Noël étranger,Baroque,Orgue,
Clavier,Clérembault L.-N.,2ème Suite pour orgue,Baroque,Orgue,
Motet,Lully J.-B.,Dixit Dominus,Baroque,Chœur et instruments,
Motet,Lully J.-B.,Laudate Pueri Dominum,Baroque,Chœur et instruments,
Motet,Lully J.-B.,O Dulcissime Domino,Baroque,Chœur et instruments,
Motet,Lully J.-B.,Salve Regina,Baroque,Chœur et instruments,
Clavier,Duruflé M.,Prélude à l'Introït de l'Epiphanie,Moderne,Orgue,
Clavier,Duruflé M.,Prélude et Fugue sur le nom d'Alain op. 7,Moderne,Orgue,
Motet,Duruflé M.,Notre Père,Moderne,Chœur a capella,
Motet,Duruflé M.,Quatre motets op.10,Moderne,Chœur a capella,
Motet,Haller M.,Justus ut palma,Romantique,Chœur a capella,
Motet,Haydn M.,Jesu Redemptor omnium,Classique,Chœur et orgue,
Motet,Haydn M.,Heiligste Nacht,Classique,Chœur a capella,
Motet,Hermesdorff M.,"Joseph, fili David",Romantique,Chœur a capella,
Motet,Lauridsen M.,O nata lux,Contemporain,Chœur a capella,
Motet,Reger M.,Unser lieben Frauen Traum,Romantique,Chœur a capella,
Clavier,Reger M.,Introduction et Passacaille en ré mineur,Romantique,Orgue,
Motet,Strokine M.,Slava v vychnih bogou,Romantique,Chœur a capella,
Clavier,Weckmann M.,Fantaisie en ré mineur,Baroque,Orgue,
Clavier,Weckmann M.,Toccata en ré mineur,Baroque,Orgue,
Clavier,Bruhns N.,Prélude en mi mineur,Baroque,Orgue,Le grand !
Messe,Cajeux N.,Missa brevis Misericordiæ Dei ,Contemporain,Chœur et instruments,
Clavier,De Grigny N.,A solis ortus cardine,Baroque,Orgue,
Clavier,De Grigny N.,Veni Creator,Baroque,Orgue,
Clavier,De Grigny N.,Ave Maris Stella,Baroque,Orgue,
Clavier,Gade N.,Trois pièces pour orgue op. 22,Romantique,Orgue,
Oratorio,Jommelli N.,Missa pro defunctis,Baroque,Chœur et instruments,
Oratorio,Jommelli N.,Te Deum,Baroque,Chœur et instruments,
Motet,Non Papa C.,Ascendit Deus,Renaissance,Chœur et instruments,
Messe,Di Lasso O.,Missa jäger,Renaissance,Chœur a capella,
Motet,Gjeilo O.,Northern Lights,Contemporain,Chœur a capella,
Motet,Lagger O.,Louez le Seigneur,Contemporain,Chœur a capella,
Clavier,Messiaen O.,Apparition de l'Eglise éternelle,Moderne,Orgue,
Clavier,Messiaen O.,L'Ascension,Moderne,Orgue,
Clavier,Messiaen O.,La Nativité du Seigneur,Moderne,Orgue,Extraits
Clavier,Davide P.,Sinfonia col tanto applaudito Inno populare,Romantique,Orgue,
Musique d'ensemble,De Sarasate P.,Fantaisie de Carmen op.25,Romantique,Violon et orgue,
Musique d'ensemble,Eben P.,Fenêtres,Contemporain,Trompette et orgue,
Clavier,Hindemith P.,Sonate no2 pour orgue,Moderne,Orgue,
Messe,Palestrina G.P.,Missa in Festis Apostolor,Renaissance,Chœur et instruments,Extrait
Motet,Palestrina G.P.,Ardens est cor meum,Renaissance,Chœur et instruments,
Motet,Palestrina G.P.,Apparuit caro suo Johanni,Renaissance,Chœur et instruments,
Clavier,Praetorius J.,Magnificat Quarti Toni,Baroque,Orgue,
Oratorio,Ropartz G.,Le miracle de Saint Nicolas,Moderne,Chœur et instruments,
Musique d'ensemble,Fredman s.,She walks in Beauty,Contemporain,Chant et orgue,
Clavier,Karg-Elert S.,Nun danket alle Gott,Moderne,Orgue,
Clavier,Prokoviev S.,Pierre et le loup op.67,Moderne,Orgue,Transcription
Clavier,Dubois T.,Toccata,Romantique,Orgue,
Motet,Dubois T.,"Adoramus te, Christe",Romantique,Chœur et orgue,
Clavier,Merula T.,Toccata e genus cromaticum,Renaissance,Clavecin,
Musique d'ensemble,Vitali T.A.,Chaconne,Baroque,Violon et orgue,
Motet,De Victoria T.L.,Répons de la -Semaine sainte,Renaissance,Chœur a capella,Extraits
Motet,De Victoria T.L.,Ave Maria,Renaissance,Chœur a capella,
Clavier,Aubertin V.,Te lucis ante terminum,Contemporain,Orgue,
Clavier,Lübeck V.,Prélude et Fugue en do mineur,Baroque,Orgue,
Messe,Rathgeber V.,Missa suavis est Dominus,Baroque,Chœur et instruments,
Messe,Rathgeber V.,Missa beati omnes,Baroque,Chœur et instruments,
Oratorio,Villard V.,"Eli, Eli, une passion",Contemporain,Chœur et instruments,
Motet,Vivaldi A.,Gloria RV 589,Baroque,Chœur et instruments,
Musique d'ensemble,Vivaldi A.,Concerto pour orgue et cordes RV 541,Baroque,Ensemble instrumental,
Motet,Vivaldi A.,Magnificat RV 611,Baroque,Chœur et instruments,
Motet,Vivaldi A.,Magnificat RV 610,Baroque,Chœur et instruments,
Motet,Vivaldi A.,Laetatus sum RV 607 ,Baroque,Chœur et instruments,
Clavier,Byrd W.,The Bells,Renaissance,Clavecin,
Motet,Byrd W.,Hodie beata Virgo Maria,Renaissance,Chœur a capella,
Clavier,Byrd W.,Galliardia,Renaissance,Clavecin,
Motet,Mozart W.A,Veni Sancte spiritus KV 47,Classique,Chœur et instruments,
Musique d'ensemble,Mozart W.A,Laudate Dominum KV 339,Classique,Chœur et instruments,
Motet,Mozart W.A,Sancta Maria KV 273,Classique,Chœur et instruments,
Motet,Mozart W.A,Ave verum,Classique,Chœur et instruments,
Messe,Mozart W.A,Grande messe en do mineur KV 427,Classique,Chœur et instruments,
Messe,Mozart W.A,Missa brevis en si bémol majeur KV 275,Classique,Chœur et instruments,
Oratorio,Mozart W.A,Te Deum,Classique,Chœur et instruments,
Oratorio,Mozart W.A,Alma Dei Creatoris,Classique,Chœur et instruments,
Motet,Kodaly Z.,Pange lingua,Moderne,Chœur et orgue,
